HUT,B0080012 Procedural Programming (C Language),5,"Understand core concepts such as data types, control structures, functions, arrays, and pointers in C. Develop robust problem-solving abilities through practical assignments and projects.   - Utilizing algorithmic thinking and logical reasoning for effective solutions.Communication and Preparedness:   - Collaborate with peers to fulfill project requirements.   - Clearly communicating technical concepts.   - Display readiness for complex programming tasks and further studies in computer science."
HUT,B0080015 Data Structures,6," implement various data structures using programming languages such as C++, Java, or Python.	 analyze problems and choose appropriate data structures and algorithms to solve them efficiently.	 design and implement algorithms for common operations on data structures, such as searching, sorting, and traversing.	 evaluate the time and space complexity of algorithms and make informed decisions about algorithm selection.	 apply their understanding of data structures and algorithms to solve real-world problems in software development and computer science."
HUT,B0080018 Database Principles,6,",  design and implement relational database schemas, write and execute SQL queries, optimize database performance, and understand the principles of database security and integrity."
HUT,B0080003 Java Programming,6," Java Programming course,  demonstrate a proficient understanding of Java programming language by writing and implementing Java programs to solve various computational problems. They will be able to design, develop, and test Java applications using object-oriented principles, understand the basics of GUI programming, handle exceptions, and work with input/output streams. Additionally, students will gain the ability to apply Java programming skills in real-world scenarios and be prepared for advanced coursework or professional development in Java development."
HUT, B0080006 Computer Operating Systems,7,",  explain the key components and functions of operating systems, analyze and solve problems related to process management, memory management, and file systems, and understand the principles of concurrent programming and synchronization."
HUT,B00800006 Computer Networks,7,",  understand the fundamental principles of network protocols, analyze and design network architectures, troubleshoot network connectivity issues, and comprehend the principles of network security and performance optimization."
HUT,B0080010 Computer Organization and Design,7,",  explain the various components of a computer system, understand the relationship between hardware and software, design basic digital circuits, analyze and optimize computer performance, and evaluate different computer architectures."
HUT,M0080008 Object-Oriented Programming Design in C++,6,",  design and implement object-oriented programs in C++, understand and apply key OOP concepts like inheritance and polymorphism, develop robust and maintainable code, and solve complex problems using object-oriented design principles."
HUT,M0080007 Assembly Language Programming,7,"  ,  write and analyze assembly language programs, understand the internal operations of a computer system, and interface with hardware at a low level. They will also gain a deeper understanding of computer architecture and be prepared to optimize code for performance."
HUT,  M0080013 Algorithm Design and Analysis,7," , students will be capable of designing and implementing algorithms to solve a variety of computational problems. They will also be able to analyze the time and space complexity of algorithms using mathematical and empirical techniques, and they will understand how to apply various algorithm design strategies to different problem domains."
HUT,M0080001 Javaweb Programming Javaweb,7,"  design and build web applications using Java technologies such as Servlets, JSP (JavaServer Pages), and web frameworks like Spring or Java EE. Students will gain proficiency in developing server-side components, handling client-server communication, and implementing database connectivity in web applications."
